DayZ Epoch Currency Values 
(From https://github.com/EpochModTeam/DayZ-Epoch/blob/master/SQF/dayz_code/Configs/CfgServerTraderZSC/DayZ%20Epoch%20Currency%20Values.txt)

Item					Worth
**Silver Bars**
ItemSilverBar			1
ItemSilverBar2oz		2
ItemSilverBar3oz		3
ItemSilverBar4oz		4
ItemSilverBar5oz		5
ItemSilverBar6oz		6
ItemSilverBar7oz		7
ItemSilverBar8oz		8
ItemSilverBar9oz		9
ItemSilverBar10oz		10

**Silver Briefcases**
ItemBriefcaseS10oz		10
ItemBriefcaseS20oz		20
ItemBriefcaseS30oz		30
ItemBriefcaseS40oz		40
ItemBriefcaseS50oz		50
ItemBriefcaseS60oz		60
ItemBriefcaseS70oz		70
ItemBriefcaseS80oz		80
ItemBriefcaseS90oz		90
ItemBriefcaseS100oz		100

**Gold Bars**
ItemGoldBar				100
ItemGoldBar2oz			200
ItemGoldBar3oz			300
ItemGoldBar4oz			400
ItemGoldBar5oz			500
ItemGoldBar6oz			600
ItemGoldBar7oz			700
ItemGoldBar8oz			800
ItemGoldBar9oz			900
ItemGoldBar10oz			1000

**Gold Briefcases**
ItemBriefcase10oz		1000
ItemBriefcase20oz		2000
ItemBriefcase30oz		3000
ItemBriefcase40oz		4000
ItemBriefcase50oz		5000
ItemBriefcase60oz		6000
ItemBriefcase70oz		7000
ItemBriefcase80oz		8000
ItemBriefcase90oz		9000
ItemBriefcase100oz		10000
